appln_id,weighted_weak_ties,age,KR.x,techsum,d_index,c_index,D_index,citation_num,docdb_family_size,appln_auth,appln_filing_year,appln_kind,science_intensity,avg,sect.y,avg2,focal_aid,tie_strength,Bool_weak,weighted_tie_strengh,Bool_weighted_weak,new_Bool_weighted_weak,IPC_LIST,number_of_ipc4,ipc_distance
115307,2,0.0,0.762661472,0.0,0.276412932,0.0,0.035294118,3,7,EP,2001,A,0.526315789,0.0,4,0.0,115307,0.0,2,0.0,2,,A61K;C12N,2,0.515266476217991
116924,2,25.0,0.953834713,325.0,0.197418301,0.0,0.04,2,21,EP,1990,A,0.0,0.0,2,0.0,116924,0.0,2,0.0,2,,C12P;C12N;A61K;F02B;C07K;C07H;C12Q,7,0.6287192309726475
117028,0,34.0,0.874442777,542.375,0.146916324,0.0,0.007407407,1,4,EP,1998,A,0.0,0.092620103,1,0.008578484,117028,0.023076923076923,0,0.0694444444444444,0,强链接,G01N;C12P;C12N;A61K;C07K;A61P;C12Q,7,0.548146138089051
124197,2,0.0,0.720907177,0.0,0.318187831,0.0,0.022727273,1,6,EP,2002,A,0.764705882,0.0,4,0.0,124197,0.0,2,0.0,2,,C07D;A61K,2,0.7586259285942241
125188,2,0.0,0.573690387,0.0,0.0,0.0,0.0,0,7,EP,2004,A,0.25,0.0,4,0.0,125188,0.0,2,0.0,2,,C07D;A61K;A61P,3,0.5585213767579899
125400,0,41.0,0.920578322,2773.5,0.0,0.0,0.0,0,8,EP,2004,A,0.8,0.038366337,1,0.001471976,125400,0.0043859649122807,0,0.0356219477161735,0,强链接,A01K;C07K;C12N;A61P,4,0.6341020014549582
126133,2,18.0,0.321016628,165.5,0.0,0.0,0.0,0,6,EP,2005,A,0.222222222,0.0,4,0.0,126133,0.0,2,0.0,2,,A61K;A61P,2,0.40579033829646605
127469,2,0.0,0.767386685,0.0,0.0,0.0,0.0,0,5,EP,2006,A,0.0,0.0,1,0.0,127469,0.0121951219512195,0,0.0070754716981132,0,强链接,A61K;C07F;A61P,3,0.6125645737108016
129053,2,27.5,0.904412647,702.0,0.0,0.0,0.0,0,6,EP,2008,A,0.0,0.0,4,0.0,129053,0.0,2,0.0,2,,A61K;C12Q;C12N,3,0.4856263957888048
129189,0,15.16666667,0.372933011,662.3333333,0.0,0.0,0.0,0,13,EP,2008,A,0.142857143,0.060986513,4,0.003719355,129189,0.0077720207253886,0,0.0130633572828216,0,强链接,A61K;A61P,2,0.40579033829646605
131813,2,0.0,0.312544141,0.0,0.081168831,0.0,0.05,1,11,EP,2001,A,0.0,0.0,4,0.0,131813,0.0,2,0.0,2,,A61K;A61P,2,0.40579033829646605
132032,2,5.5,0.955499683,12.5,0.342512102,0.0,0.038834951,4,6,EP,2002,A,0.0,0.0,4,0.0,132032,0.0,2,0.0,2,,A61K;A61L,2,0.6291486336518601
133286,2,47.33333333,0.883415723,594.3333333,0.157142857,0.0,0.05,1,4,EP,2004,A,0.75,0.0,4,0.0,133286,0.0,1,0.0,1,弱链接,C07K;A61K;C07H;C12N,4,0.566846851654913
133589,1,13.5,0.803986541,48.0,0.0,0.0,0.0,0,8,EP,2004,A,0.884615385,0.0,1,0.0,133589,0.0,1,0.0,1,弱链接,A61K;C07K;C12N,3,0.534097436181494
133625,2,0.0,0.641856584,0.0,0.273583663,0.0,0.02020202,2,5,EP,2004,A,0.742857143,0.0,2,0.0,133625,0.0034965034965034,0,0.0040246212121212,0,强链接,A61K;C12N;A61P,3,0.4904273563416275
134476,0,43.5,0.321016628,3266.5,0.0,0.0,0.0,0,7,EP,2005,A,0.5,0.088618278,1,0.007853199,134476,0.0063613231552162,0,0.0823252688172043,0,强链接,A61K;A61P,2,0.40579033829646605
134773,2,0.0,0.781787529,0.0,0.577871501,0.0,0.009360374,24,17,EP,2001,A,0.115942029,0.0,2,0.0,134773,0.0120481927710843,0,0.0096993210475266,0,强链接,A61K;C07K;C12N,3,0.534097436181494
135278,0,56.5,0.825005192,1297.5,0.0,0.0,0.0,0,10,EP,2006,A,0.428571429,0.130584192,1,0.017052231,135278,0.0411311053984575,0,0.1197478991596638,0,强链接,A61K;C07K;C12N,3,0.534097436181494
136169,2,0.0,0.339298785,0.0,0.0,0.0,0.0,0,55,EP,2000,A,0.428571429,0.0,4,0.0,136169,0.0476190476190476,0,0.0462427745664739,0,强链接,A61K;A61P,2,0.40579033829646605
137970,1,23.5,0.994846074,193.5,0.0,0.0,0.0,0,12,EP,1999,A,0.0,0.0,2,0.0,137970,0.0,1,0.0,1,弱链接,A61L;A23B;C11D;A61K;C01B;A01N;A23K,7,0.6559971118893158
137992,2,0.0,0.767130751,0.0,0.0,0.0,0.0,0,5,EP,1999,A,0.75,0.0,1,0.0,137992,0.0277777777777777,0,0.0575035063113604,0,强链接,A61K;C07K;C12P;A61P,4,0.5308988788467724
138034,2,0.0,0.839953367,0.0,0.156108696,0.0,0.030769231,2,12,EP,1999,A,0.25,0.0,4,0.0,138034,0.0,1,0.0,1,弱链接,G01N;C12P;C12N;A61K;C07K;A61P,6,0.5643987795578466
138686,0,48.16666667,0.85929545,1973.333333,0.236467236,0.0,0.1,2,7,EP,2000,A,0.75,0.02013261,4,0.000405,138686,0.0055096418732782,0,0.0488732806555458,0,强链接,A61K;G01N;A61P;A61B,4,0.6324596496037156
138734,0,3.666666667,0.762858049,94.0,0.247892458,0.0,0.068965517,2,11,EP,2000,A,0.642857143,0.017660044,4,0.000312,138734,0.0238095238095238,0,0.0522875816993464,0,强链接,C07D;A61K;C07C;A61P,4,0.533030322499708
138894,2,0.0,0.877278827,0.0,0.263888889,0.0,0.1,1,10,EP,2000,A,0.4,0.0,4,0.0,138894,0.0238726790450928,0,0.0605714285714285,0,强链接,A61L;A61K;C07K;A61P;A61F,5,0.60527230382266
139879,2,0.0,0.819947372,0.0,0.0,0.0,0.0,0,10,EP,2001,A,0.980769231,0.0,4,0.0,139879,0.0,1,0.0,1,弱链接,C12N;A61K;C07K;C07H;A61P,5,0.5417232592414838
140008,2,0.0,0.846251111,0.0,0.067982456,0.0,0.034482759,1,25,EP,2001,A,0.5,0.0,4,0.0,140008,0.0,2,0.0,2,,G01N;C12P;C12N;A61K;C07K;A61P,6,0.5643987795578466
140112,2,18.0,0.851464546,241.5,0.0,0.0,0.0,0,19,EP,2001,A,0.538461538,0.0,4,0.0,140112,0.0,1,0.0,1,弱链接,A61K;C12P;C07K;C12N,4,0.5473755820079901
141713,2,0.0,0.723196582,0.0,0.251282051,0.0,0.083333333,2,9,EP,2002,A,0.863636364,0.0,4,0.0,141713,0.0133333333333333,0,0.0267993874425727,0,强链接,A61K;C07K;C12N;A61P,4,0.5092216181956349
141912,2,40.5,0.0,248.0,0.49021164,0.0,0.083333333,4,8,EP,2002,A,0.533333333,0.0,4,0.0,141912,0.0227272727272727,0,0.3205574912891986,0,强链接,A61K,1,0.0
